Clinic Name,Target Location,Main Phone Line,Owner Full Name,Direct Owner IG Profile URL,LinkedIn Identity URL,Professional Email Address,Active Campaign Status,Workload Allocation Vector,Website,Meta Pixel Active,Google Tag Active,AI Cold Opener,Notes
Glow And Fair Aesthetic Center Ramapuram,"Beverly Hills, CA",PENDING_CALL_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,BACKLOG_SEQUENCER,,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Spring Med Spa,"Los Angeles, CA",099520 99620,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,THIRU_COLD_CALL,,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Cloud Aesthetics Skin & Hair,"Beverly Hills, CA",089392 66256,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,THIRU_COLD_CALL,,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Orange beauty Clinic,"Beverly Hills, CA",089390 47535,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,THIRU_COLD_CALL,,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Amara Med Aesthetics - Trusted Skin Care Clinic & Best Hair Clinic in Chennai,"Los Angeles, CA",074026 77677,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,THIRU_COLD_CALL,,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Dayan Aesthetix & Cosmetic Clinic,"Beverly Hills, CA",086107 47618,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,THIRU_COLD_CALL,,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Adhia Aesthetic Clinic | Skin & Hair Cosmetic Clinic in Chennai | Dental clinic in Chennai,"Beverly Hills, CA",086800 01515,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,THIRU_COLD_CALL,http://www.adhiaclinic.com/,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
RAZZTHETICS COSMETIC CLINIC,"Beverly Hills, CA",095000 88498,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,THIRU_COLD_CALL,,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
INSHINE COZMO AESTHETIC CLINIC,"Beverly Hills, CA",091503 83850,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,THIRU_COLD_CALL,,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
"Finesse Clinic | Best Dental & Aesthetic Skin & Hair Care Clinic in Valasaravakkam, Chennai | Cosmetic Treatments","Beverly Hills, CA",095661 51524,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,THIRU_COLD_CALL,,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
